,Model_type,mape,mse,me,mae,mpe,rmse,R2 score,Adj R2 score,AIC,BIC
291,bagging_Outliers_Removed_shuffled_rscv_model,13.04914711141763,0.004862600567747371,-0.016208536731628805,0.049520651549603216,-0.0086716446256761,0.06973234950686354,0.38988778423960946,0.3477479014693723,-1855.4469339939963,-1766.2590110130645
362,XGBoost_OutliersRemoved_extra_features_shuffled_default_model,13.052556229175188,0.004646325318082091,-0.005362036881142683,0.04787081634348712,0.016531727806321818,0.06816395908456382,0.41702391642834546,0.3653226735427859,-1859.6892694727896,-1747.2349318011802
231,bagging_Outliers_Removed_rscv_model,13.075546310536756,0.00486238862172207,-0.01649905578678535,0.049594907186060945,-0.009536652359039147,0.06973082977938862,0.38991437718248356,0.34777633116205453,-1855.4624948814317,-1766.2745719005
228,adaBoost_Outliers_Removed_rscv_model,13.114304277536402,0.004668757678017509,-0.010261481995464087,0.048753966515041235,0.005294300649736472,0.06832830802835314,0.4142093202808209,0.37374930336328005,-1869.9698284369279,-1780.7819054559961
585,GBM_1_AutoML_20201106_170326Outlier_removed_full_lag,13.117424834477164,0.005013198493246215,-0.008358781998292743,0.04916965227600989,0.011168028818810852,0.0708039440514878,0.38493115117906673,0.030800601857923326,-1666.923618211247,-1148.2372701847758
310,CategoricalGradientBoosting_Outliers_Removed_shuffled_crosscv_model,13.132737043601562,0.004549880029297139,-3.5888258198129434e-05,0.0472959184116339,3.027099935833345,0.06724182430976941,0.38528756598787683,,,
359,gradient_boosting_regressor_OutliersRemoved_extra_features_shuffled_default_model,13.142413036484324,0.004665052716160779,-0.004251502430726862,0.048654917275840266,0.017933776335352036,0.0683011911767341,0.41467418315742854,0.3627645541408091,-1858.2532435474693,-1745.7989058758599
588,GBM_grid__1_AutoML_20201106_170326_model_10Outlier_removed_full_lag,13.148596443741345,0.00504153499071326,-0.009028661065532542,0.049340838268763086,0.011171697532989742,0.07100376744027925,0.3814545489858455,0.02532231961405962,-1664.866308790894,-1146.1799607644225
590,GBM_grid__1_AutoML_20201106_170326_model_12Outlier_removed_full_lag,13.149346681746948,0.005080452624094509,-0.009254253262086476,0.04943655737346865,0.008685295098414356,0.07127729388868877,0.3766797482284273,0.017798391147824888,-1662.0595465773201,-1143.3731985508489
579,DRF_1_AutoML_20201106_170326Outlier_removed_full_lag,13.16575590915734,0.0047578901393080875,-0.006682991420785362,0.048771839126578044,0.016474368785265064,0.06897746109641965,0.41625490896815986,0.08015925049528227,-1686.0020993220749,-1167.3157512956036
580,GBM_grid__1_AutoML_20201106_170326_model_15Outlier_removed_full_lag,13.17217294191299,0.004765966902817028,-0.0074426084957750875,0.04925577519741482,0.012984756116658764,0.06903598266713545,0.41526397161741757,0.07859777345774888,-1685.3830183395567,-1166.6966703130852
360,gradient_boosting_regressor_OutliersRemoved_extra_features_shuffled_rscv_model,13.17957823419727,0.004682709681601642,-0.005143207155532228,0.04858908770006652,0.01795211392124881,0.0684303272065949,0.41245875744876925,0.3603526533693022,-1856.9045690966122,-1744.4502314250028
586,GBM_4_AutoML_20201106_170326Outlier_removed_full_lag,13.190036482222038,0.005014765255251146,-0.010346545200649494,0.04970341999105515,0.006241237825882341,0.0708150072742434,0.38473892529691833,0.030497700467871258,-1666.8095635236164,-1148.1232154971449
243,XGBoost_Outliers_Removed_rscv_model,13.22560776208172,0.004729518663513741,-0.010575621934648031,0.049061576537061426,0.006588112104721303,0.06877149601043837,0.4065856179066685,0.36559903896328527,-1865.35366835338,-1776.1657453724483
295,random_forest_Outliers_Removed_shuffled_crosscv_model,13.23399593609194,0.00453429548642858,0.0016882398525298811,0.046829791088640736,3.91671991759289,0.06708583615518324,0.3980678357264081,,,
581,GBM_grid__1_AutoML_20201106_170326_model_4Outlier_removed_full_lag,13.253540773135008,0.004801473372161664,-0.004451136007507148,0.049045068199267634,0.021760901456213066,0.06929266463458932,0.41090768625290974,0.07173332379246389,-1682.6738463067393,-1163.987498280268
288,adaBoost_Outliers_Removed_shuffled_rscv_model,13.259735463303771,0.004769215742019854,-0.01086934761027552,0.0492598527888067,0.0038776493415067005,0.06905950870097365,0.40160481140423365,0.36027421279251404,-1862.3697046105153,-1773.1817816295836
303,XGBoost_Outliers_Removed_shuffled_rscv_model,13.259940597984688,0.004772324754923649,-0.010814988010553797,0.049261518344217985,0.006113737984731175,0.06908201469936766,0.40121472245385936,0.3598571807614833,-1862.1370550407125,-1772.9491320597808
363,XGBoost_OutliersRemoved_extra_features_shuffled_rscv_model,13.28976541271125,0.0045646177972641045,-0.00143425724935436,0.04766524025592391,0.03193911185450575,0.0675619552504522,0.42727578800940846,0.3764837325117719,-1866.0231160104536,-1753.5687783388441
365,LightGradientBoosting_OutliersRemoved_extra_features_shuffled_default_model,13.297967184992455,0.004623620785279739,-0.004433464229325954,0.04837702449568729,0.017850620776761812,0.06799721159929824,0.41987266220189867,0.36842406037882547,-1861.4380465051802,-1748.9837088335707
235,random_forest_Outliers_Removed_crosscv_model,13.306123859949926,0.004529677041283103,0.0014481945737627841,0.04700555560495253,3.8384740499178873,0.06711115415650566,0.3996225474930183,,,
241,gradient_boosting_regressor_Outliers_Removed_crosscv_model,13.352103781597696,0.004582112754724971,0.0004567505058522523,0.04767603533727312,3.3007559059915694,0.06751945235901124,0.3844510469298842,,,
369,CategoricalGradientBoosting_OutliersRemoved_extra_features_shuffled_rscv_model,13.354321413127987,0.0045828563222230405,-0.004749495349318019,0.048742645276470604,0.017526971053348047,0.0676967969864383,0.424987393822005,0.3739923920508679,-1864.5995182055553,-1752.145180533946
584,XRT_1_AutoML_20201106_170326Outlier_removed_full_lag,13.375834716772028,0.005003682309838823,-0.006309406476303349,0.0494400032741254,0.018392722856636668,0.07073671118901997,0.3860986908209617,0.03264036129363668,-1667.6171291068897,-1148.9307810804185
582,GBM_grid__1_AutoML_20201106_170326_model_6Outlier_removed_full_lag,13.402794010874977,0.004863588576014181,-0.00657016628753121,0.04982194719786616,0.016723036016921884,0.06973943343628611,0.4032867777691712,0.0597246195150577,-1677.9822340480184,-1159.2958860215472
583,GBM_grid__1_AutoML_20201106_170326_model_2Outlier_removed_full_lag,13.415858954259713,0.004965594679037828,-0.010076522243465053,0.04993783091605763,0.007296895186685882,0.07046697580454143,0.3907716586403379,0.04000382573629013,-1670.406108267025,-1151.7197602405536
591,GBM_2_AutoML_20201106_170326Outlier_removed_full_lag,13.417536805799926,0.005133854584835898,-0.010872884399660694,0.050393050992020356,0.0057797981501932875,0.0716509217305395,0.3701278667176041,0.007474214221679154,-1658.2429601231179,-1139.5566120966464
